Volunteer Name;Age;Gender;Skills;Availability;Location;Type of Organization;;state;city;country;zip
John Smith;25;Male;Animal care, Customer service;Weekends;Delhi;Pet and Animal Service;;Vorarlberg;Linz;Austria;4662
Sarah Johnson;30;Female;Healthcare, Communication;Weekdays;Mumbai;Healthcare;;NiederÃ¶sterreich;Linz;Austria;1654
Michael Brown;35;Male;Youth mentoring, Teaching;Flexible;Bangalore;Youth Development;;NiederÃ¶sterreich;Wien;Austria;4988
Emily Davis;22;Female;Event planning, Social media;Evenings;Chennai;Youth Development;;Burgenland;Sankt AndrÃ¤ im Lavanttal;Austria;4000
Daniel Wilson;28;Male;Data analysis, Fundraising;Weekdays;Kolkata;Healthcare;;KÃ¤rnten;Linz;Austria;9979
Jessica Thompson;27;Female;Pet grooming, Photography;Weekends;Delhi;Pet and Animal Service;;Salzburg;Feldkirchen;Austria;8017
Ryan Anderson;31;Male;First aid, Counseling;Flexible;Mumbai;Healthcare;;Wien;StraÃŸburg;Austria;6874
Olivia Martinez;24;Female;Tutoring, Leadership development;Weekdays;Bangalore;Youth Development;;OberÃ¶sterreich;Wien;Austria;3214
Ethan Harris;29;Male;Graphic design, Marketing;Weekends;Chennai;Pet and Animal Service;;Salzburg;Steyr;Austria;3347
Ava Lewis;26;Female;Nursing, Elderly care;Weekdays;Kolkata;Healthcare;;Wien;Linz;Austria;1154
Benjamin Wright;23;Male;Sports coaching, Team management;Evenings;Delhi;Youth Development;;Vorarlberg;Linz;Austria;1716
Mia Turner;32;Female;Veterinary assistance, Animal rescue;Flexible;Mumbai;Pet and Animal Service;;Steiermark;Linz;Austria;3276
Samuel Green;27;Male;Research, Lab assistance;Weekdays;Bangalore;Healthcare;;Vorarlberg;Wien;Austria;2448
Lily Walker;25;Female;Mentoring, Community outreach;Weekends;Chennai;Youth Development;;OberÃ¶sterreich;Linz;Austria;4200
Noah Turner;33;Male;Dog walking, Pet adoption;Weekdays;Kolkata;Pet and Animal Service;;OberÃ¶sterreich;Murau;Austria;2143
Sophia Clark;28;Female;Nutrition, Health education;Flexible;Delhi;Healthcare;;Wien;Wien;Austria;9314
James Evans;26;Male;Tutoring, Career guidance;Weekends;Mumbai;Youth Development;;Tirol;Linz;Austria;2414
Mia Hernandez;24;Female;Animal shelter volunteering;Weekdays;Bangalore;Pet and Animal Service;;OberÃ¶sterreich;Linz;Austria;4724
Ethan Adams;29;Male;Medical coding, Administrative tasks;Weekdays;Chennai;Healthcare;;Salzburg;Eggenburg;Austria;4297
Harper Lewis;27;Female;Childcare, Mentoring;Flexible;Kolkata;Youth Development;;Burgenland;Wien;Austria;7626
Oliver Wilson;27;Male;Environmental conservation, Gardening;Weekdays;Delhi;Pet and Animal Service;;OberÃ¶sterreich;Wien;Austria;6142
